"state","first","second","third"
"Alabama","Birmingham","Mobile","Montgomery"
"Alaska","Anchorage","Fairbanks","Juneau"
"Arizona","Phoenix","Tucson","Mesa"
"Arkansas","Little Rock","Fort Smith","Fayetteville"
"California","Los Angeles","San Diego","San Jose"
"Colorado","Denver","Colorado Springs","Aurora"
"Connecticut","Bridgeport","New Haven","Hartford"
"Delaware","Wilmington","Dover","Newark"
"Florida","Jacksonville","Miami","Tallahassee"
"Georgia","Atlanta","Augusta","Columbus"
"Hawaii","Honolulu1","Hilo1","Kailua1"
"Idaho","Boise","Nampa","Idaho Falls"
"Illinois","Chicago","Aurora","Rockford"
"Indiana","Indianapolis","Fort Wayne","Evansville"
"Iowa","Des Moines","Cedar Rapids","Davenport"
"Kansas","Wichita","Overland Park","Kansas City"
"Kentucky","Louisville","Lexington","Owensboro"
"Louisiana","New Orleans","Shreveport","Baton Rouge"
"Maine","Portland","Lewiston","Bangor"
"Maryland","Baltimore","Frederick","Gaithersburg"
"Massachusetts","Boston","Worcester","Springfield"
"Michigan","Detroit","Grand Rapids","Warren"
"Minnesota","Minneapolis","Saint Paul","Rochester"
"Mississippi","Jackson","Gulfport","Biloxi"
"Missouri","Kansas City","Saint Louis","Springfield"
"Montana","Billings","Missoula","Great Falls"
"Nebraska","Omaha","Lincoln","Bellevue"
"Nevada","Las Vegas","Reno","Henderson"
"New Hampshire","Manchester","Nashua","Concord"
"New Jersey","Newark","Jersey City","Paterson"
"New Mexico","Albuquerque","Las Cruces","Rio Rancho"
"New York","New York City","Buffalo","Rochester"
"North Carolina","Charlotte","Raleigh","Greensboro"
"North Dakota","Fargo","Bismarck","Grand Forks"
"Ohio","Columbus","Cleveland","Cincinnati"
"Oklahoma","Oklahoma City","Tulsa","Norman"
"Oregon","Portland","Salem","Eugene"
"Pennsylvania","Philadelphia","Pittsburgh","Allentown"
"Rhode Island","Providence","Warwick","Cranston"
"South Carolina","Columbia","Charleston","North Charleston"
"South Dakota","Sioux "Falls","Rapid City","Aberdeen"
"Tennessee","Memphis","Nashville","Knoxville"
"Texas","Houston","San Antonio","Dallas"
"Utah","Salt Lake City","West "Valley City","Provo"
"Vermont","Burlington","South Burlington","Rutland"
"Virginia","Virginia Beach","Norfolk","Chesapeake"
"Washington","Seattle","Spokane","Tacoma"
"West Virginia","Charleston","Huntington","Parkersburg"
"Wisconsin","Milwaukee","Madison","Green Bay"
"Wyoming","Cheyenne","Casper","Laramie"
